y_now,v_now,y_next,v_next
38.74161428656595,-39.2,-0.45838571343405476,-49.0
436.5073576652682,0.0,436.5073576652682,-9.8
436.5073576652682,-9.8,426.7073576652682,-19.6
426.7073576652682,-19.6,407.1073576652682,-29.400000000000002
407.1073576652682,-29.400000000000002,377.7073576652682,-39.2
377.7073576652682,-39.2,338.5073576652682,-49.0
361.2703805031039,0.0,361.2703805031039,-9.8
361.2703805031039,-9.8,351.4703805031039,-19.6
351.4703805031039,-19.6,331.8703805031039,-29.400000000000002
331.8703805031039,-29.400000000000002,302.4703805031039,-39.2
302.4703805031039,-39.2,263.2703805031039,-49.0
425.8559902914033,0.0,425.8559902914033,-9.8
425.8559902914033,-9.8,416.0559902914033,-19.6
416.0559902914033,-19.6,396.4559902914033,-29.400000000000002
396.4559902914033,-29.400000000000002,367.0559902914033,-39.2
367.0559902914033,-39.2,327.8559902914033,-49.0
287.62962605264534,0.0,287.62962605264534,-9.8
287.62962605264534,-9.8,277.8296260526453,-19.6
277.8296260526453,-19.6,258.2296260526453,-29.400000000000002
258.2296260526453,-29.400000000000002,228.8296260526453,-39.2
228.8296260526453,-39.2,189.62962605264528,-49.0
446.18446852043115,0.0,446.18446852043115,-9.8
446.18446852043115,-9.8,436.38446852043114,-19.6
436.38446852043114,-19.6,416.7844685204311,-29.400000000000002
416.7844685204311,-29.400000000000002,387.38446852043114,-39.2
387.38446852043114,-39.2,348.18446852043115,-49.0
219.02062439355618,0.0,219.02062439355618,-9.8
219.02062439355618,-9.8,209.22062439355616,-19.6
209.22062439355616,-19.6,189.62062439355617,-29.400000000000002
189.62062439355617,-29.400000000000002,160.22062439355616,-39.2
160.22062439355616,-39.2,121.02062439355616,-49.0
76.77543945049919,0.0,76.77543945049919,-9.8
76.77543945049919,-9.8,66.9754394504992,-19.6
66.9754394504992,-19.6,47.375439450499194,-29.400000000000002
47.375439450499194,-29.400000000000002,17.97543945049919,-39.2
17.97543945049919,-39.2,-21.22456054950081,-49.0
101.51269216619724,0.0,101.51269216619724,-9.8
101.51269216619724,-9.8,91.71269216619724,-19.6
91.71269216619724,-19.6,72.11269216619723,-29.400000000000002
72.11269216619723,-29.400000000000002,42.71269216619723,-39.2
42.71269216619723,-39.2,3.512692166197226,-49.0
493.92767029652936,0.0,493.92767029652936,-9.8
493.92767029652936,-9.8,484.12767029652935,-19.6
484.12767029652935,-19.6,464.5276702965293,-29.400000000000002
464.5276702965293,-29.400000000000002,435.12767029652935,-39.2
435.12767029652935,-39.2,395.92767029652936,-49.0
424.0649458653976,0.0,424.0649458653976,-9.8
424.0649458653976,-9.8,414.2649458653976,-19.6
414.2649458653976,-19.6,394.66494586539756,-29.400000000000002
394.66494586539756,-29.400000000000002,365.2649458653976,-39.2
365.2649458653976,-39.2,326.0649458653976,-49.0
476.43504520706887,0.0,476.43504520706887,-9.8
476.43504520706887,-9.8,466.63504520706886,-19.6
466.63504520706886,-19.6,447.03504520706883,-29.400000000000002
447.03504520706883,-29.400000000000002,417.63504520706886,-39.2
417.63504520706886,-39.2,378.43504520706887,-49.0
71.35900344047064,0.0,71.35900344047064,-9.8
71.35900344047064,-9.8,61.55900344047065,-19.6
61.55900344047065,-19.6,41.959003440470646,-29.400000000000002
41.959003440470646,-29.400000000000002,12.559003440470644,-39.2
12.559003440470644,-39.2,-26.64099655952936,-49.0
344.5523333781055,0.0,344.5523333781055,-9.8
344.5523333781055,-9.8,334.7523333781055,-19.6
334.7523333781055,-19.6,315.1523333781055,-29.400000000000002
315.1523333781055,-29.400000000000002,285.7523333781055,-39.2
285.7523333781055,-39.2,246.55233337810552,-49.0
155.42891980793308,0.0,155.42891980793308,-9.8
155.42891980793308,-9.8,145.62891980793307,-19.6
145.62891980793307,-19.6,126.02891980793308,-29.400000000000002
126.02891980793308,-29.400000000000002,96.62891980793307,-39.2
96.62891980793307,-39.2,57.42891980793307,-49.0
97.06541129410121,0.0,97.06541129410121,-9.8
97.06541129410121,-9.8,87.26541129410121,-19.6
87.26541129410121,-19.6,67.6654112941012,-29.400000000000002
67.6654112941012,-29.400000000000002,38.2654112941012,-39.2
38.2654112941012,-39.2,-0.934588705898804,-49.0
387.40001776874414,0.0,387.40001776874414,-9.8
387.40001776874414,-9.8,377.6000177687441,-19.6
377.6000177687441,-19.6,358.0000177687441,-29.400000000000002
358.0000177687441,-29.400000000000002,328.6000177687441,-39.2
328.6000177687441,-39.2,289.40001776874414,-49.0
350.03430161521766,0.0,350.03430161521766,-9.8
350.03430161521766,-9.8,340.23430161521765,-19.6
340.23430161521765,-19.6,320.6343016152176,-29.400000000000002
320.6343016152176,-29.400000000000002,291.23430161521765,-39.2
291.23430161521765,-39.2,252.03430161521766,-49.0
407.8888620083322,0.0,407.8888620083322,-9.8
407.8888620083322,-9.8,398.08886200833217,-19.6
398.08886200833217,-19.6,378.48886200833215,-29.400000000000002
378.48886200833215,-29.400000000000002,349.08886200833217,-39.2
349.08886200833217,-39.2,309.8888620083322,-49.0
404.1554794660277,0.0,404.1554794660277,-9.8
404.1554794660277,-9.8,394.3554794660277,-19.6
394.3554794660277,-19.6,374.7554794660277,-29.400000000000002
374.7554794660277,-29.400000000000002,345.3554794660277,-39.2
345.3554794660277,-39.2,306.1554794660277,-49.0
404.57267584178544,0.0,404.57267584178544,-9.8
404.57267584178544,-9.8,394.77267584178543,-19.6
